Article ID,User ID,User Name,Arm,disease,pop_modifier,treatment,int_biomarker,int_bm_mod,bm_positive,num_patients,outcome_type,outcome_units,outcome_value,outcome_range,confidence_interval,table/figure/section,max-duration
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,TP53,altered,positive,18,aPFS,months,5.7,2.8-8.8,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,AR amplified 41,altered,positive,22,aPFS,months,8.8,5.4-13.8,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ZFHX3,altered,negative,74,aPFS,months,10.3,8.0-13.8,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,ETS,fusion,negative,15,aPFS,months,13.8,8.2-16.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,PTEN,altered,negative,19,aPFS,months,13.5,7.8-16.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,PTEN,altered,positive,14,aPFS,months,6.7,2.6-19.5,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,PIK3CA pathway,altered,positive,24,aPFS,months,11,5.3-13.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,WNT pathway,altered,positive,12,aPFS,months,12.4,2.7-23.7,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,PTEN,altered,negative,27,aPFS,months,13.8,8.1-19.2,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,TP53,altered,positive,33,aPFS,months,7.7,5.3-8.8,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,AR,amplified or mutated,negative,39,aPFS,months,11,8.0-16.6,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,SPOP,altered,positive,5,aPFS,months,NR,2.8-NR,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,AR,amplified or mutated,positive,41,aPFS,months,8.8,5.4-13.5,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,RB1,altered,negative,71,aPFS,months,10.3,8.0-13.8,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,CHD1,altered,negative,76,aPFS,months,8.8,7.8-13.6,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,TP53,altered,negative,47,aPFS,months,13.5,8.2-16.6,95,Table A5,45
11781742,139,tom,A,mcrpc,prior-adt,AAP,none,none,NA,74,OS,months,30.6,28.4-NR,95,table 1,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,AR amplified 41,altered,positive,19,aPFS,months,8.3,2.8-13.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,PTEN,altered,positive,20,aPFS,months,6.9,2.8-13.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,TP53,altered,negative,29,aPFS,months,13.8,"8,2-17.9",95,Table A6,45
11781742,139,tom,A,mcrpc,prior-adt,AAP,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,positive,7,OS,months,16.6,13.5-19.5,95,Figure 3A,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,negative,26,aPFS,months,8.2,3.9-10.3,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ZFHX3,altered,positive,6,aPFS,months,10,2.1-13.8,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PIK3CA pathway,altered,positive,39,aPFS,months,8.3,5.4-13.3,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,AR amplified 41,altered,negative,14,aPFS,months,10.3,6.7-NR,95,Table A6,45
11781742,139,tom,B,mcrpc,prior-adt,AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,negative,34,OS,months,8.1,5.4-13.6,95,Figure 3B,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,ETS,altered,positive,23,aPFS,months,11,7.4-17.9,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,WNT pathway,altered,negative,42,aPFS,months,11,7.4-13.8,95,Table A6,45
11781742,139,tom,B,mcrpc,prior-adt,AAP + veliparib,none,none,NA,79,OS,months,32.3,28.4-NR,95,table 1,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,negative,34,aPFS,months,8.1,5.3-13.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ETS,Fusion,positive,41,aPFS,months,8.2,5.4-14.5,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,positive,13,aPFS,months,13.8,8.2-32.9,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,CHD1,altered,positive,4,aPFS,months,NR,2.6-NR,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,PIK3CA pathway,altered,negative,18,aPFS,months,13.8,7.7-16.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,SPOP,altered,negative,75,aPFS,months,8.8,7.8-13.6,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ETS,Fusion,negative,39,aPFS,months,13.3,8.2-13.8,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,RB1,altered,positive,9,aPFS,months,8.8,1.9-23.7,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PIK3CA pathway,altered,negative,41,aPFS,months,13.8,8.2-16.6,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,TP53,altered,negative,18,aPFS,months,13.5,2.7-16.6,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,TP53,altered,positive,15,aPFS,months,8.3,3.9-13.8,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,ETS,altered,negative,24,aPFS,months,11,5.5-13.8,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,ETS,fusion,positive,18,aPFS,months,7.7,2.7-19.5,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,WNT pathway,altered,negative,26,aPFS,months,8.8,5.4-13.8,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,WNT pathway,altered,negative,68,aPFS,months,10.3,8.0-13.6,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,positive,20,OS,months,14.5,11.0-19.5,95,Figure 2C,45
11781742,139,tom,A,mcrpc,prior-adt,AAP,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,negative,26,OS,months,8.2,3.9-10.3,95,Figure 3A,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,WNT pathway,altered,positive,5,aPFS,months,16.5,5.4-32.9,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PTEN,altered,negative,46,aPFS,months,13.5,8.2-16.6,95,Table A5,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,negative,60,OS,months,8.1,5.5-11.0,95,Figure 2C,45
11781742,139,tom,B,mcrpc,prior-adt,AAP + veliparib,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,positive,13,OS,months,13.8,8.2-32.9,95,Figure 3B,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,PIK3CA pathway,altered,positive,15,aPFS,months,8.3,2.7-19.5,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,AR amplified 41,altered,negative,25,aPFS,months,11,6.4-17.9,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP + Veliparib,PIK3CA pathway,altered,negative,23,aPFS,months,13.8,7.4-22.2,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,"BRCA1,BRCA2,ATM,FANCA,PALB2,RAD51B,RAD51C",altered biallelic,positive,7,aPFS,months,16.6,13.5-19.5,95,Table A6,45
11781742,139,tom,A+B,mcrpc,prior-adt,AAP,WNT pathway,altered,positive,7,aPFS,months,8.3,1.9-23.7,95,Table A6,45
11781743,139,tom,single,mcrpc,"prior-taxane,prior-AR-directed",rucaparib,"ATM,!BRCA1,!BRCA2",altered,positive,49,PSA PFS,months,3.1,2.8-4.6,95,table 2,24
11781743,139,tom,single,mcrpc,"prior-taxane,prior-AR-directed",rucaparib,"BARD1,BRIP1,FANCA,NBN,PALB2,RAD51,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA1,!BRCA2",altered,positive,14,PSA PFS,months,11.1,3-NR,95,table 2,24
11781743,139,tom,single,mcrpc,"prior-taxane,prior-AR-directed",rucaparib,"CDK12,!BRCA1,!BRCA2",altered,positive,15,PSA PFS,months,3.2,2.8-4.6,95,table 2,24
11781743,139,tom,single,mcrpc,"prior-taxane,prior-AR-directed",rucaparib,"CHEK2,!BRCA1,!BRCA2",altered,positive,12,PSA PFS,months,7.4,2.8-7.4,95,table 2,24
11781745,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,"BRCA1,BRCA2",altered,positive,8,rPFS,months,7.2,NA,NA,Figure 1,27
11781745,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,"BRCA1,BRCA2",altered,qualifying or suspected deleterious alteration,8,OS,months,18.4,NA,NA,Figure 2,27
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,BRCA1,qualifying or suspected deleterious alteration,positive,8,rPFS,months,2.07,1.38-5.52,95,Fig S6,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",ATM,qualifying or suspected deleterious alteration,positive,15,OS,months,12.5,NR,NR,Table S6,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",ATM,qualifying or suspected deleterious alteration,positive,15,rPFS,months,3.6,NR,NR,Table S6,35
11781746,139,tom,B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,48,OS,months,11.5,NR,NR,"Fig S4B,Table S4",35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,ATM,qualifying or suspected deleterious alteration,positive,27,OS,months,NR,NR,NR,Table S6,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,58,OS,months,15.1,NR,NR,Fig S5A,35
11781746,139,tom,A,mcrpc,"prior-AR-directed-therapy,no-prior-taxane",olaparib,ATM,qualifying or suspected deleterious alteration,positive,27,rPFS,months,5.3,NR,NR,Table S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,PPP2R2A,qualifying or suspected deleterious alteration,positive,6,rPFS,months,2.69,1.77-3.91,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,ATM,qualifying or suspected deleterious alteration,positive,62,rPFS,months,5.36,3.61-6.21,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",CDK12,qualifying or suspected deleterious alteration,positive,28,rPFS,months,2.2,1.71-4.83,95,Fig S6,35
11781746,139,tom,B,mcrpc,prior-AR-directed-therapy,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,94,rPFS,months,4.8,NR,NR,"Fig S4A,Table S4",35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,CDK12,qualifying or suspected deleterious alteration,positive,61,rPFS,months,5.09,3.61-5.52,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",RAD51B,qualifying or suspected deleterious alteration,positive,1,rPFS,months,1.77,NR,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",RAD54L,qualifying or suspected deleterious alteration,positive,2,rPFS,months,2.41,1.81-3.02,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",ATM,qualifying or suspected deleterious alteration,positive,24,rPFS,months,4.7,1.84-7.26,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,prior-AR-directed,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,256,OS,months,17.5,NR,NR,Fig S3,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,"BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,102,OS,months,19.1,NR,NR,Fig S5A,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,ATM,qualifying or suspected deleterious alteration,positive,35,OS,months,17.2,NR,NR,Table S6,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,OS,months,18.5,NR,NR,Fig 1B,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",ATM,qualifying or suspected deleterious alteration,positive,9,OS,months,NR,NR,NR,Table S6,35
11781746,139,tom,B,mcrpc,prior-AR-directed-therapy,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,94,OS,months,14.2,NR,NR,"Fig S4B,Table S4",35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,CHEK2,qualifying or suspected deleterious alteration,positive,7,rPFS,months,5.59,1.64-11.99,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,131,rPFS,months,3.5,NR,NR,"Fig 1C,Table S4",35
11781746,139,tom,B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",CDK12,qualifying or suspected deleterious alteration,positive,28,OS,months,11.5,NR,NR,Fig S5C,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,131,OS,months,14.3,NR,NR,Fig S3,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,BRCA2,qualifying or suspected deleterious alteration,positive,81,rPFS,months,10.84,9.17-13.08,95,Fig S6,35
11781746,139,tom,A,mcrpc,"prior-AR-directed-therapy,prior-taxane",olaparib,ATM,qualifying or suspected deleterious alteration,positive,35,rPFS,months,5.7,NR,NR,Table S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,RAD54L,qualifying or suspected deleterious alteration,positive,3,rPFS,months,7.2,3.71-7.39,95,Fig S6,35
11781746,139,tom,B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,48,rPFS,months,3.3,NR,NR,"Fig S4A,Table S4",35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",BRCA2,qualifying or suspected deleterious alteration,positive,47,rPFS,months,3.48,1.74-3.65,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,RAD51B,qualifying or suspected deleterious alteration,positive,4,rPFS,months,10.89,1.61-14.75,95,Fig S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",CHEK2,qualifying or suspected deleterious alteration,positive,5,rPFS,months,3.35,1.38-NR,95,Fig S6,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,ATM,qualifying or suspected deleterious alteration,positive,82,OS,months,17.3,NR,NR,Fig S5B,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,"BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,102,rPFS,months,9.8,NR,NR,Fig S5A,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",PPP2R2A,qualifying or suspected deleterious alteration,positive,4,rPFS,months,NR,NR,95,Fig S6,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,rPFS,months,7.4,NR,NR,"Fig 1A,Table S4",35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,83,OS,months,15.1,NR,NR,Fig 1B,35
11781746,139,tom,A,mcrpc,"prior-AR-directed-therapy,no-prior-taxane","AAP or Enz,crossover to olaparib permitted",ATM,qualifying or suspected deleterious alteration,positive,9,rPFS,months,5.7,NR,NR,Table S6,35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",BRCA1,qualifying or suspected deleterious alteration,positive,5,rPFS,months,1.84,1.71-3.71,95,Fig S6,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,83,rPFS,months,3.6,NR,NR,"Fig 1A,Table S4",35
11781746,139,tom,A+B,mcrpc,prior-AR-directed-therapy,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,256,rPFS,months,5.8,NR,NR,"Fig 1C,Table S4",35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted",ATM,qualifying or suspected deleterious alteration,positive,24,OS,months,17.9,NR,NR,Fig S5B,35
11781746,139,tom,A,mcrpc,prior-AR-directed-therapy,"AAP or Enz,crossover to olaparib permitted","BRCA1,BRCA2",qualifying or suspected deleterious alteration,positive,58,rPFS,months,3,NR,NR,Fig S5A,35
11781746,139,tom,B,mcrpc,prior-AR-directed-therapy,olaparib,CDK12,qualifying or suspected deleterious alteration,positive,61,OS,months,14.2,NR,NR,Fig S5C,35
11781747,139,tom,A,mCRPC,"prior-taxane,prior_AR_directed",olaparib,none specified,NA,NA,49,OS,months,10.1,NR,NA,page 1700,21.9
11781747,139,tom,A,mCRPC,"prior-taxane,prior_AR_directed",olaparib,"BRCA2,ATM,FANCA,CHEK2,BRCA1,PALB2,HDAC2,RAD51,MLH3,ERCC3,MRE11,NBN",altered,positive,33,rPFS,months,9.8,NR,NA,Figure 2A,21.9
11781747,139,tom,A,mCRPC,"prior-taxane,prior_AR_directed",olaparib,"BRCA2,ATM,FANCA,CHEK2,BRCA1,PALB2,HDAC2,RAD51,MLH3,ERCC3,MRE11,NBN",altered,negative,16,rPFS,months,2.7,NR,NA,Figure 2A,21.9
11781747,139,tom,A,mCRPC,"prior-taxane,prior_AR_directed",olaparib,"BRCA2,ATM,FANCA,CHEK2,BRCA1,PALB2,HDAC2,RAD51,MLH3,ERCC3,MRE11,NBN",altered,positive,33,OS,months,13.8,NR,NA,Figure 2B,21.9
11781747,139,tom,A,mCRPC,"prior-taxane,prior_AR_directed",olaparib,"BRCA2,ATM,FANCA,CHEK2,BRCA1,PALB2,HDAC2,RAD51,MLH3,ERCC3,MRE11,NBN",altered,negative,16,OS,months,7.5,NR,NA,Figure 2B,21.9
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,TP53,altered (one),positive,46,"rPFS,PSA PFS",months,3.7,NR,95,page 449,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,WNT pathway,altered,positive,16,"rPFS,PSA PFS",months,4.8,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,PI3K pathway,altered,positive,59,"rPFS,PSA PFS",months,3.7,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,AR,LBD mutation,positive,14,"rPFS,PSA PFS",months,6.2,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,SPOP,mutation,positive,12,"rPFS,PSA PFS",months,7.3,NR,95,Table 3,30
11781748,139,tom,A,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP,none,NA,NA,101,"rPFS,PSA PFS",months,7.5,NR,95,Table S7,30
